"183","131926","La Cal (R60004)","ATC","Salamanca","Guanajuato","6","Cambio de Torre","Cotización","Cotización"
"22","133880","Vicente Guerrero","ATC","Guanajuato",,,"Reforzamiento","En Ejecución","En Ejecución"
"29","142408","Himalaya","ATC","San Luis Potosi",,,"Reforzamiento","En espera de PO","En espera de PO"
"211","145843","1118 Saltillo","ATC","Ramos Arizpe","Coahuila","3","Cambio de Torre","Cotización","Cotización"
"60","147433","Ejido Independencia","ATC","tecoman","Colima","5","Reforzamiento","En espera de PO","En espera de PO"
"61","147711","La Martinica","ATC","LEON","Guanajuato","6","Reforzamiento","Levantamiento","En Cotización"
"68","148319","Plaza Patria","ATC","Jalisco",,,"Reforzamiento","Corrección de Detalles","Re Ingeniería"
"71","175852","Torreon","ATC","Torreon","Coahuila","3","Reforzamiento","Carta de Liberación","Carta de Liberación"
"72","175853","POP Torreon","ATC",,,,"Cambio de Torre","Cotización","Cotización"
"74","176015","Guanajuato","ATC","Guanajuato","Guanajuato","6","Cambio de Torre","Cotización","Cotización"
"202","178728","Los Soles","ATC","Juarez","Chihuahua","3","Torre Nueva","Montada","Asignada"
"118","178731","Puerto Dunquerque","ATC","Juarez","Chihuahua","3","Torre Nueva","Montada","Asignada"
"120","178732","Bethel","ATC","Juarez","Chihuahua","3","Torre Nueva","Montada","Asignada"
"76","178734","Nueva Jerusalén","ATC","Saltillo","Coahuila","3","Torre Nueva","Montada","Asignada"
"134","178900","Acoros","ATC","Piedras Negras","Coahuila","3","Torre Nueva","En Montaje","Asignada"
"105","MX-TAM-5010","Graciano Sanchez","MTP",,,,"Reforzamiento","Carta de Liberación","Carta de Liberación"
"212","85798","Ajusco","ATC","Ciudad de México","Ciudad de México","9","Reforzamiento","Elaboración de Catálogo","En Cotización"
"213","86526","España","ATC","San Luis Potosí","San Luis Potosí","6","Reforzamiento","Carta de Liberación","Carta de Liberación"
"214","143655"," GUADALAJARA/Angel Leaño","ATC","Nuevo México","Jalisco","5","Reforzamiento","En Ejecución","En Ejecución"
