23,537,147773 San Sebastian :: Implementacion :: Refuerzo :: EADI - AXTE - 12369272 - GPS ,116368,01/07/2021,01/07/2021,Admin Admin,50851.08,Reforzamiento,MXN,181,0,pdf/po_2020/M3PO_116368.pdf,01/07/2021
24,522,179255_SONHRS1469_Crios_Implementaciòn_BTS_AT&T_URGENTE_TRANSPORTE DE TORRE_GPS_MAYO_21,116309,02/07/2021,02/07/2021,Admin Admin,69434.04,Torre Nueva,MXN,178,0,pdf/po_2020/M3PO_116309.pdf,02/07/2021
25,522,179255_SONHRS1469_Crios_Implementaciòn_BTS_AT&T_URGENTE_MONTAJE DE TORRE_GPS_MAYO_21,116309,03/07/2021,03/07/2021,Admin Admin,107421.79,Torre Nueva,MXN,178,0,pdf/po_2020/M3PO_116309.pdf,03/07/2021
26,522,179255_SONHRS1469_Crios_Implementaciòn_BTS_AT&T_URGENTE_ESTRUCTURA DE TORRE_GPS_MAYO_21,116309,04/07/2021,04/07/2021,Admin Admin,352062.2,Torre Nueva,MXN,178,0,pdf/po_2020/M3PO_116309.pdf,04/07/2021
27,511,179255_SONHRS1469_Crios_Implementaciòn_BTS_AT&T_URGENTE_OBRA_GPS_MAYO_21,116309,05/07/2021,05/07/2021,Admin Admin,786753.09,BTS,MXN,175,0,pdf/po_2020/M3PO_116309.pdf,05/07/2021
28,228,179243 - Urbana Morelos - Implementación - AT&T - BTS - Montaje torre - GPS - Mayo 21,116282,06/07/2021,06/07/2021,Admin Admin,75450.04,Torre Nueva,MXN,19,0,pdf/po_2020/M3PO_116282.pdf,06/07/2021
29,228,179243 - Urbana Morelos - Implementación - AT&T - BTS - Transporte torre - GPS - Mayo 21,116282,07/07/2021,07/07/2021,Admin Admin,21532.58,Torre Nueva,MXN,19,0,pdf/po_2020/M3PO_116282.pdf,07/07/2021
30,228,179243 - Urbana Morelos - Implementación - AT&T - BTS - Estructura torre - GPS - Mayo 21,116282,08/07/2021,08/07/2021,Admin Admin,397963.74,Torre Nueva,MXN,19,0,pdf/po_2020/M3PO_116282.pdf,08/07/2021
31,309,179153_EL CORRAL_Implementación_AT&T_BTS_Fletes_GPS_Urgente_Abril 2021,116178,09/07/2021,09/07/2021,Admin Admin,23118.01,Torre Nueva,MXN,59,0,pdf/po_2020/M3PO_116178.pdf,09/07/2021
32,309,179153_EL CORRAL_Implementación_AT&T_BTS_Montaje de Torre_GPS_Urgente_Abril 2021,116178,10/07/2021,10/07/2021,Admin Admin,107794.65,Torre Nueva,MXN,59,0,pdf/po_2020/M3PO_116178.pdf,10/07/2021
33,309,179153_EL CORRAL_Implementación_AT&T_BTS_Torre_GPS_Urgente_Abril 2021,116178,11/07/2021,11/07/2021,Admin Admin,373120.4,Torre Nueva,MXN,59,0,pdf/po_2020/M3PO_116178.pdf,11/07/2021
34,329,179055 - Toyota Guanajuato - Implementación - AT&T - BTS - Montaje torre - GPS - Abril 21,116178,12/07/2021,12/07/2021,Admin Admin,102415.7,Torre Nueva,MXN,68,0,pdf/po_2020/M3PO_116178.pdf,12/07/2021
35,329,179055 - Toyota Guanajuato - Implementación - AT&T - BTS - Transporte torre - GPS - Abril 21,116178,13/07/2021,13/07/2021,Admin Admin,35027.45,Torre Nueva,MXN,68,0,pdf/po_2020/M3PO_116178.pdf,13/07/2021
36,329,179055 - Toyota Guanajuato - Implementación - AT&T - BTS - Estructura torre - GPS - Abril 21,116178,14/07/2021,14/07/2021,Admin Admin,547341.2,Torre Nueva,MXN,68,0,pdf/po_2020/M3PO_116178.pdf,14/07/2021
37,203,179243 - Urbana Morelos - Implementación - AT&T - BTS - Obra civil - GPS - Abril 21,116103,15/07/2021,15/07/2021,Admin Admin,870673.34,BTS,MXN,11,0,pdf/po_2020/M3PO_116103.pdf,15/07/2021
38,319,178751 NLEPES2339 Colinas del Aeropuerto Implementación ATT Transporte de torre GPS Urgente 260421,116079,16/07/2021,16/07/2021,Admin Admin,55450,Torre Nueva,MXN,63,0,pdf/po_2020/M3PO_116079.pdf,16/07/2021
39,319,178751 NLEPES2339 Colinas del Aeropuerto Implementación ATT Montaje de torre GPS Urgente 260421,116079,17/07/2021,17/07/2021,Admin Admin,87151,Torre Nueva,MXN,63,0,pdf/po_2020/M3PO_116079.pdf,17/07/2021
40,319,178751 NLEPES2339 Colinas del Aeropuerto Implementación ATT Suministro de torre GPS Urgente 26042,116079,18/07/2021,18/07/2021,Admin Admin,457649.5,Torre Nueva,MXN,63,0,pdf/po_2020/M3PO_116079.pdf,18/07/2021
41,326,179034_COASLT2371_Museo del Desierto_Implementación_BTS_AT&T_Urgente_Suministro de Torre_GPS_Abril 2021,115856,19/07/2021,19/07/2021,Admin Admin,445876.64,Torre Nueva,MXN,65,0,pdf/po_2020/M3PO_115856.pdf,19/07/2021
42,326,179034_COASLT2371_Museo del Desierto_Implementación_BTS_AT&T_Urgente_Montaje de Torre_GPS_Abril 2021,115856,20/07/2021,20/07/2021,Admin Admin,82620,Torre Nueva,MXN,65,0,pdf/po_2020/M3PO_115856.pdf,20/07/2021
43,326,179034_COASLT2371_Museo del Desierto_Implementación_BTS_AT&T_Urgente_Transporte de Torre_GPS_Abril 2021,115856,21/07/2021,21/07/2021,Admin Admin,44907,Torre Nueva,MXN,65,0,pdf/po_2020/M3PO_115856.pdf,21/07/2021
44,310,179181 MORTXC2175 Implementación ATT Suministro de torre GPS 160421 Urgente,115856,22/07/2021,22/07/2021,Admin Admin,321837.72,Torre Nueva,MXN,60,0,pdf/po_2020/M3PO_115856.pdf,22/07/2021
45,310,179181 MORTXC2175 Implementación ATT Montaje de torre GPS 160421 Urgente,115856,23/07/2021,23/07/2021,Admin Admin,59611,Torre Nueva,MXN,60,0,pdf/po_2020/M3PO_115856.pdf,23/07/2021
46,310,179181 MORTXC2175 Implementación ATT Transporte de torre GPS 160421 Urgente,115856,24/07/2021,24/07/2021,Admin Admin,30833,Torre Nueva,MXN,60,0,pdf/po_2020/M3PO_115856.pdf,24/07/2021
